"Quantity","LCSC Part Number","Value","Footprint","References"
"2","C7603442","1x4 screw plug","","BOM101,BOM102"
"2","C1634","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C401,C402"
"1","C1790","100p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C312"
"12","C28233","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C101,C307,C310,C403,C404,C407,C408,C409,C410,C411,C412,C413"
"1","C28323","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C406"
"6","C440198","10u/50v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C301,C303,C304,C305,C306,C313"
"3","C45783","22u/25v","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C302,C308,C405"
"2","C16780","47u/6V3","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","C309,C311"
"1","C123062","6V8","D_SOD-323_HandSoldering","D303"
"5","C8598","B5819W","D_SOD-123","D301,D304,D401,D402,D403"
"1","C2297","BLUE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","D302"
"1","C22378353","250mA","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","F301"
"2","C880556","BUS","PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical","J101,J102"
"1","C3975153","Back","PinSocket_2x08_P2.54mm_Vertical_SMD","J103"
"1","C22383836","USB_C_Receptacle_USB2.0","USB_C_Receptacle_G-Switch_GT-USB-7082G","J401"
"1","C5832373","3.3uH","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder","L301"
"1","C20526","MMBT3904","SOT-23","Q301"
"4","C127687","0R1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R307,R308,R309,R312"
"2","C17561","22R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R407,R408"
"13","C17673","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R301,R302,R303,R304,R401,R402,R403,R404,R405,R406,R409,R410,R412"
"2","C17414","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R305,R306"
"1","C17560","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R311"
"1","C17470","150k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R411"
"1","C17539","200k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","R310"
"2","C2885154","15mm","SW_SPST_15","SW401,SW402"
"1","C5446","JTD6206-3.3V","SOT-23","U302"
"1","C20754712","LW6550A23E","SOT-23-5","U301"
"1","C2932938","ME3121AM6G","SOT-23-6","U303"
"1","C99269","TMP102","SOT-563","U101"
"1","C2687116","USBLC6-2SC6","SOT-23-6","U401"
"1","C609746","XL1050","SOIC-8_3.9x4.9mm_P1.27mm","U403"
"1","C2858491","esp32-C3FH4X","QFN-32-1EP_5x5mm_P0.5mm_EP3.65x3.65mm","U402"
"1","C20885029","40MHz","Crystal_SMD_2016-4Pin_2.0x1.6mm","Y401"
