Designator,Mid X,Mid Y,Layer,Rotation
"C101",19.500,18.730,top,270.000
"C301",57.737,13.137,top,90.000
"C302",50.337,4.337,top,0.000
"C303",69.737,5.337,top,270.000
"C304",70.337,8.537,top,0.000
"C305",70.337,10.537,top,0.000
"C306",70.337,12.537,top,0.000
"C307",67.737,5.337,top,270.000
"C308",23.775,9.037,top,180.000
"C309",20.775,6.037,top,90.000
"C310",65.537,12.737,top,0.000
"C311",16.775,9.537,top,90.000
"C312",60.337,4.337,top,180.000
"C313",60.337,8.338,top,0.000
"C401",20.500,39.337,top,0.000
"C402",16.500,38.500,top,0.000
"C403",50.737,32.538,top,0.000
"C404",34.400,30.500,top,90.000
"C405",11.537,36.538,top,270.000
"C406",13.537,36.538,top,270.000
"C407",12.737,31.537,top,180.000
"C408",15.400,25.737,top,180.000
"C409",24.000,30.500,top,90.000
"C410",12.737,33.538,top,180.000
"C411",22.000,30.500,top,90.000
"C412",8.938,33.538,top,0.000
"C413",63.675,34.000,top,90.000
"D301",79.600,9.400,top,90.000
"D302",76.400,11.000,top,180.000
"D303",57.337,5.337,top,270.000
"D304",75.800,8.600,top,0.000
"D401",60.875,34.700,top,270.000
"D402",68.475,38.000,top,0.000
"D403",68.475,30.000,top,0.000
"F301",79.400,5.000,top,270.000
"J103",42.000,17.000,top,90.000
"J401",42.000,37.000,top,180.000
"L301",65.337,10.338,top,180.000
"Q301",54.337,4.938,top,0.000
"R301",76.400,4.400,top,0.000
"R302",76.400,6.400,top,0.000
"R303",72.600,4.400,top,180.000
"R304",72.600,6.400,top,180.000
"R305",57.337,9.338,top,90.000
"R306",54.337,7.737,top,0.000
"R307",70.938,16.537,top,270.000
"R308",51.337,7.337,top,270.000
"R309",16.775,5.537,top,270.000
"R310",60.337,6.337,top,180.000
"R311",64.337,4.337,top,0.000
"R312",60.137,11.338,top,270.000
"R401",28.000,30.500,top,270.000
"R402",30.000,30.500,top,270.000
"R403",26.000,30.500,top,90.000
"R404",32.400,30.500,top,270.000
"R405",38.337,33.137,top,180.000
"R406",46.400,33.200,top,180.000
"R407",22.738,36.137,top,180.000
"R408",22.738,34.137,top,180.000
"R409",64.075,30.200,top,0.000
"R410",8.938,31.537,top,180.000
"R411",53.938,14.737,top,270.000
"R412",72.000,29.300,top,90.000
"SW401",54.000,37.038,top,180.000
"SW402",30.000,37.038,top,180.000
"U101",16.770,18.900,top,90.000
"U301",54.337,10.537,top,0.000
"U302",23.775,6.037,top,180.000
"U303",64.537,7.137,top,180.000
"U401",42.000,32.000,top,90.000
"U402",17.738,30.137,top,270.000
"U403",68.475,34.000,top,270.000
"Y401",16.500,35.500,top,180.000
